t,marketcap_thermocap_ratio,net_unrealized_profit_loss,price_usd_close,mvrv_z_score,puell_multiple,reserve_risk,sopr_adjusted,rhodl_ratio,exchange_net_position_change
2018-06-26,7.7290595e-07,0.147249629206385,6096.19,0.343441920838637,0.753183070446604,0.004236850454629001,0.9716584321060131,5866.72135686824,9383.305241889786
2018-06-27,7.607118720000001e-07,0.16319022035132802,6154.48,0.382713448775549,0.614648493041239,0.004161525716144,0.7981252101254651,6406.60971358321,20455.01973360032
2018-06-28,7.573968330000001e-07,0.127620674577646,5903.44,0.289531133286661,0.7952578712303041,0.004136446291544,0.954556563017351,6205.71194466599,37833.405757010914
2018-06-29,7.353201970000001e-07,0.17309042768136,6220.76,0.41476045251861904,0.742175025870997,0.004009204282112,0.96371227965946,5946.29828885611,40472.721781950444
2018-06-30,7.905382260000001e-07,0.19773177310196402,6396.98,0.48954273359443906,0.7446709478003971,0.00430185529828,0.99999707001849,5924.8627275827,41444.0925280205
2018-07-01,7.876422300000001e-07,0.196304888922292,6388.12,0.480712205955359,0.774252449502117,0.0042780475357180004,0.9215133917000471,6563.19978857103,41432.68790484266
2018-07-02,7.983576290000001e-07,0.22264607144752,6614.92,0.5682025187124481,0.75161500156625,0.004327750692241001,0.9992604984204171,6686.60263721702,38437.177606081124
2018-07-03,8.15566855e-07,0.216160203934315,6533.56,0.5353691021753341,0.632665846947232,0.004411271494849,0.9919998208081111,6896.59590925602,31197.344091900624
2018-07-04,8.128653510000001e-07,0.22310527219200502,6609.7,0.561433528200704,0.729306848412683,0.004387820404219,1.00408477386313,6626.03203879564,23737.738080058713
2018-07-05,8.188527100000001e-07,0.22803972205439402,6643.34,0.5783312091375451,0.751564680396101,0.004410995070348,0.9912149172889211,6558.97230978634,23735.243490269408
2018-07-06,8.13889432e-07,0.23220460462779802,6674.68,0.587280216489459,0.8718454177912671,0.004376314470278001,0.971518692268006,6801.22587404308,20406.035577088594
2018-07-07,8.141915370000001e-07,0.25322966861955104,6859.53,0.66180509707067,0.8502362737749081,0.004369844622152,0.9917045060876181,6645.12685885747,22745.81902696099
2018-07-08,8.359640580000001e-07,0.244275511016518,6762.01,0.6248704947733561,0.8842808532784171,0.004478186860724,0.9706345655113421,6000.3228601027,4432.118884450756
2018-07-09,8.291105200000001e-07,0.24119422105192703,6746.22,0.620192826600511,0.75529615139853,0.004432426646514,0.9966621494419681,5931.68822205554,926.0143504184671
2018-07-10,7.984043600000001e-07,0.19245527641392,6328.33,0.46226333773805,0.796281301444497,0.004260629120333001,0.9739802983298521,5669.99812809794,1116.2446759692393
2018-07-11,7.798016240000001e-07,0.20164411559217202,6393.59,0.48878566332078,0.705137830313598,0.0041536271377600005,0.966853203619436,5663.17002046139,2390.355510890018
2018-07-12,7.600604940000001e-07,0.181421876163635,6228.81,0.40220067204512205,0.718329017370101,0.004041493798416,0.95560175718499,5508.71416438732,1470.0677433796227
2018-07-13,7.60725435e-07,0.18330944353120102,6236.49,0.430616090046245,0.7292737889848491,0.0040381366866420005,0.9619028622115361,5159.40893444801,-8835.05933349114
2018-07-14,7.599344620000001e-07,0.18827774226826302,6275.18,0.44856825799626904,0.677571374322112,0.004026709449808001,0.9811081070610621,5133.62036529617,-11741.018130390905
2018-07-15,7.68420196e-07,0.19873558378358702,6359.64,0.48364525615561305,0.68550582749454,0.004064269154713,0.995687383665207,4958.90670058898,-11251.893258151133
2018-07-16,7.91062964e-07,0.24428203773072502,6742.49,0.614331977437168,0.6356910014492371,0.004175820318496001,0.99581224842571,5078.64298200871,-2669.215030671563
2018-07-17,8.323610720000001e-07,0.30320244863462903,7318.74,0.842705551975499,0.8871152108031891,0.004386447266006,1.02020931204693,5206.50428959859,-3751.4141664807685
2018-07-18,8.933689980000001e-07,0.30825353953829504,7370.78,0.8603256355153621,1.04340735451011,0.004700174632739001,1.01851627801181,5511.33843448048,-4647.495681760367
2018-07-19,8.90548439e-07,0.31641842223836,7466.86,0.8949224368988851,1.02097378747338,0.004677817415984001,1.01678278391548,5710.97853124936,3065.1974464799277
2018-07-20,8.936176480000001e-07,0.30570462331096304,7354.94,0.851898160258836,0.9230011012637751,0.0046856080931350005,1.01014266267487,5760.80798200099,12289.517821310554
2018-07-21,8.837080870000001e-07,0.311417204958912,7418.71,0.873476578396513,0.8108642965989411,0.004624729294415,1.01067651347906,5825.00214309028,19422.033885978628
2018-07-22,8.93013305e-07,0.31083868365815503,7418.49,0.8730200347292391,1.08971028544162,0.004666637717247,1.01750377344372,5784.55747621251,14479.806809550617
2018-07-23,9.180392130000001e-07,0.33691180835433104,7713.31,0.98121068917361,1.02276837237298,0.0047895014438190005,1.02269501122704,5948.56327440069,23321.84265213972
